config,engine,model,architecture,active_params,precision,gpus,rps,io_shape,prefix_caching,burstiness,harness_version,request_throughput,tps_output,ttft_mean_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,e2el_p50_ms,e2el_p90_ms,e2el_p99_ms,tpot_p50_ms,tpot_p90_ms,gpu_util_pct,gpu_power_w,gpu_cost_hr,c_eff_per_mtok,c_naive_per_mtok,underutil_penalty
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,100,agentic,0,1.0,v2,1.0508330938081483,4304.212352238175,249946.4573285491,10653.630669999984,657408.5820348009,662613.7657912001,580523.5155299997,931704.5799484007,949636.2058482796,70.11138744542129,118.45580098647139,48.46468781985671,224.3140609007165,6.98,0.45046311153321084,0.44979777581520153,1.001479188546016
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,1,agentic,0,1.0,v2,0.9180739008855637,3760.430698027269,76.47999957799584,76.58937800033527,91.14521170031367,113.261555150184,55792.65999149993,70143.46775890008,71988.92430489996,13.607520440659426,17.109788885885177,49.150393700787404,224.73707086614175,6.98,0.5156028775921957,0.44979777581520153,1.1462993045213057
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,25,agentic,0,1.0,v2,1.0523874740842838,4310.579093849226,244771.03578341028,762.3160800012556,637978.9487320002,640002.7707377198,563552.3149290002,903577.6324729999,919095.7399485189,69.37186306642218,114.43053979443218,49.34516706443914,226.92820405727926,6.98,0.44979777581520153,0.44979777581520153,1.0
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,100,chat,1,1.0,v2,28.499878154095,7295.96880744832,4441.007928349079,4632.038998499866,5209.510584399823,12450.110539420215,33652.91461300012,40554.31724830005,47146.49674850002,113.51364750392207,133.6520389137247,40.93296089385475,201.07715083798882,6.98,0.2657479685096122,0.2625087374716368,1.0123395170354106
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,10,chat,1,1.0,v2,9.886619888844187,2530.974691544112,41.468797419998964,39.865893500063976,51.15726910007652,63.392272600019616,1970.4331679998859,2101.8964351999557,2216.5506050801832,7.5735207980392705,8.0770571615685,46.181481481481484,201.70166666666668,6.98,0.766064115681062,0.2625087374716368,2.9182423528429515
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,1,chat,1,1.0,v2,0.9976162436877267,255.38975838405804,30.16631437399792,31.307422499935456,33.94104769988644,41.824104340014394,1220.7243044999814,1259.1085922000957,1297.752186250052,4.669635349019772,4.812013181176197,32.63877952755905,155.89753937007873,6.98,7.59188191866788,0.2625087374716368,28.920492292140022
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,200,chat,1,1.0,v2,28.583555761876852,7317.390275040474,5183.507044665612,4944.971252999949,8601.641676800136,12182.120656660034,33874.4946249999,41556.05464019991,51744.27190051989,112.41131988235257,134.39454046901847,35.609756097560975,186.01002439024393,6.98,0.2649699983206328,0.2625087374716368,1.0093759197225272
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,25,chat,1,1.0,v2,24.600985274070478,6297.852230162042,75.79651034466693,72.47658049993788,102.26424050001697,134.1388761500046,4315.5828350001,5567.094851100092,5882.063683990085,16.646698368627124,21.498225917254395,45.679310344827584,212.5028275862069,6.98,0.30786509718393346,0.2625087374716368,1.172780381137589
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,50,chat,1,1.0,v2,28.851552886084587,7385.997538837654,2248.2149223908264,1605.71537550004,4849.487276500077,7792.215693829816,33091.27771800001,35972.0754674001,41476.91243668997,120.45408235490271,124.42098830352957,44.134502923976605,210.29207602339181,6.98,0.2625087374716368,0.2625087374716368,1.0
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,5,chat,1,1.0,v2,4.948305448187444,1266.7661947359857,35.61800277499742,34.74900449998586,40.403809499980525,53.29078335999838,1416.511810999964,1560.57981010008,1629.3549799700895,5.415504462744851,5.984125480000312,46.78030303030303,194.1267803030303,6.98,1.530581489264469,0.2625087374716368,5.830592550961636
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,100,rag,0,1.0,v2,2.257517436021983,2311.6978544865106,225834.31105715863,232695.8002535007,398511.2459173004,401121.34759528027,287325.6366575006,451349.26105779974,455914.0851416501,53.39602552981453,55.33971137937446,41.37252368647717,202.98298880275627,6.98,0.8387293716287018,0.8387293716287018,1.0
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,1,rag,0,1.0,v2,0.9868691056038927,1010.5539641383862,149.01545162199182,138.63504749997446,168.13969030017702,343.7043830097353,7796.709431000181,9645.84302340045,10689.108620359748,7.469627507820324,9.293714971260803,48.425225225225226,217.73394594594595,6.98,1.9186396349867523,0.8387293716287018,2.287555080205439
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,25,rag,0,1.0,v2,2.25666144279003,2310.8213174169905,213819.7279777552,215654.6185749994,390506.9885086001,399216.8279917203,270264.2401079993,426885.7998354,453761.54440660065,53.438388367546644,55.68990080703818,47.006644518272424,220.16000000000003,6.98,0.8390475171209503,0.8387293716287018,1.000379318410694
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,100,agentic,0,1.0,v2,1.0775408543903848,4413.607339583016,247193.220276551,5331.625910999719,584837.5878442005,740707.6155970793,545501.0508650012,877636.8518502029,924418.53200784,67.04796753992623,105.38563317181926,47.91339193381592,220.75343329886246,6.98,0.4392980026791575,0.437832963711756,1.0033461139037625
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,1,agentic,0,1.0,v2,0.8655592378757493,3545.330638339069,97.19032407407212,99.40086949973193,115.33652849921054,127.37249129892005,99814.95795149931,113088.69826309948,114110.1740287291,24.351326181074576,27.591904429768157,49.188140556368964,222.87695461200587,6.98,0.5468852094983242,0.437832963711756,1.2490727168234914
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,25,agentic,0,1.0,v2,1.0811464288251327,4428.375772467743,250529.87782967393,270834.3310570017,563578.9840159996,709841.4939870005,525770.2078340007,849890.2007336004,892308.6410364393,64.05916317899883,98.10131460371204,49.135821831869514,224.31712045169385,6.98,0.437832963711756,0.437832963711756,1.0
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,100,chat,0,0.25,v2,37.3211065088924,9554.203266276454,3086.4356098776493,2744.4488250002905,4773.002731999441,12890.41514070086,24113.879436001298,31117.639364998467,36048.43148140025,84.50509797254983,105.3783640666641,39.60539215686274,197.34061274509804,6.98,0.20293569592899496,0.20293569592899496,1.0
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,10,chat,0,0.25,v2,9.807136511748672,2510.62694700766,77.33372851412544,77.01562749934965,102.71027580129159,151.17588150031224,3441.9675589997496,4144.694205398992,4426.9029506882725,13.158038998039508,15.934525138038547,45.798561151079134,205.44723021582732,6.98,0.7722727947295364,0.20293569592899496,3.8055049467479902
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,50,chat,0,0.25,v2,36.83282045670077,9429.202036915398,2783.0058633712833,2978.939722997893,4806.17246380134,7280.830379941472,25459.951965000073,26979.38007119883,28485.39094179956,88.08127046665736,89.51169230353187,43.16847826086956,207.69228260869568,6.98,0.20562597781849662,0.20293569592899496,1.0132568194924316
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,100,chat,0,1.0,v2,37.62094458379959,9630.961813452695,3186.941349398741,3182.0010830001593,4342.288502999963,13672.747257200126,24449.27431799988,32078.54057999998,36879.42004740007,83.86537068235265,109.88005669019628,39.705882352941174,198.37512254901958,6.98,0.2013183030360078,0.2013183030360078,1.0
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,10,chat,0,1.0,v2,9.773922445547708,2502.124146060213,65.82873746749783,57.88507050010594,88.73192210016896,109.05211808996,3536.1216994999722,3892.440896100016,4178.879838670114,13.616292199999942,14.992151837647066,41.26158940397351,194.5553973509934,6.98,0.774897157657752,0.2013183030360078,3.8491142929967666
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,50,chat,0,1.0,v2,36.642098545347594,9380.377227608984,2694.640943592364,2452.249590000065,5551.79605290007,9477.188533359984,25060.770351499967,27694.59582419993,30501.35848334003,87.17447982549037,89.56449976078433,43.32432432432432,208.26067567567566,6.98,0.20669625984573575,0.2013183030360078,1.0267137002876785
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,100,chat,1,1.0,v2,37.619958949609654,9630.709491100071,3133.971045144548,3139.95104750029,4336.560575999648,13271.134504330003,24470.697440500317,31948.245426899666,36588.01020497009,84.07101395882373,109.8680051333327,38.62041884816754,194.26568062827226,6.98,0.2013235775288056,0.20026856236805,1.0052680018684945
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,10,chat,1,1.0,v2,9.789529726492622,2506.1196099821113,64.86496696329819,57.50301299985949,88.42995839995638,108.29754408011468,3567.943923999792,3907.7057838001565,4161.06521938028,13.733452372548973,15.0447295913731,44.77205882352941,208.89257352941175,6.98,0.7736617522827366,0.20026856236805,3.8631213163697398
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,1,chat,1,1.0,v2,0.9964456178454362,255.09007816843166,46.72920029200577,49.045580499978314,52.6186489002157,83.05353146984997,1805.0029874998472,2006.6336665997371,2192.332442750166,6.880427774510334,7.661842335294162,37.624756335282655,121.88689083820663,6.98,7.600800873206341,0.20026856236805,37.95304057377575
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,200,chat,1,1.0,v2,37.81814096364888,9681.444086694113,3796.8878181759874,3536.9069880007373,4910.844244000145,13206.706053099922,24665.09060000044,32928.56119499993,37960.46488029979,82.63076996470629,110.57727274117711,32.38427947598253,175.89467248908298,6.98,0.20026856236805,0.20026856236805,1.0
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,25,chat,1,1.0,v2,24.20143507586084,6195.567379420375,105.09999193231177,105.7593700002144,126.19365519994972,142.36119886009874,7570.8238879997225,8039.523959200233,8200.62290604009,29.25441629411794,31.104674527843745,43.556291390728475,208.85423841059603,6.98,0.3129477528287783,0.20026856236805,1.562640432069655
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,50,chat,1,1.0,v2,36.60603774147733,9371.145661818196,2672.0540134920993,2456.590580000011,5451.556744600021,9389.299105200062,25056.88116400006,27575.802875999943,30493.48610864015,87.43135196078477,89.88980461725434,42.526315789473685,205.85190058479535,6.98,0.2068998774385398,0.20026856236805,1.0331121120163778
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,5,chat,1,1.0,v2,4.9072897191905005,1256.2661681127681,56.956677993334026,52.427458500233115,81.51490129998821,88.63505210016227,2764.1074260000096,2964.8736441999517,3089.826352549967,10.613680109805037,11.376447705489923,45.5187969924812,191.6047744360902,6.98,1.5433742769667944,0.20026856236805,7.706522974536606
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,100,rag,0,1.0,v2,2.5363578642073303,2597.2304529483063,204719.15887075698,230952.78338200116,336696.09344200033,372571.49218550057,276665.5936370007,390183.3783540005,418121.00686600024,44.606739859239056,48.61547087292325,37.61742100768574,190.1741161400512,6.98,0.7465216984068218,0.7465216984068218,1.0
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,1,rag,0,1.0,v2,0.9786033512145295,1002.0898316436782,133.35597808600141,127.40623550052987,147.8192977010622,223.51609884079153,12454.61386900024,14465.098631700857,15903.372682580866,12.046087607526953,13.990880740663757,48.39056939501779,205.61556049822065,6.98,1.9348453877718985,0.7465216984068218,2.5918139980406734
C4,vllm,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,1,25,rag,0,1.0,v2,2.5345295388748275,2595.3582478078233,193352.31292173377,213575.44773299922,337211.01287100103,372427.5567584991,259447.06754300022,385510.3677110001,418037.87401799945,44.64163589736012,47.907740636363414,45.570388349514566,213.9188531553398,6.98,0.7470602143371063,0.7465216984068218,1.0007213667485269
